External ID,urobilin,methylimidazole acetic acid,phenylalanine,valine,cadaverine,7-methylxanthine,C18:2 LPC,C16:0 LPC,2-deoxyadenosine,urate,spermidine,leucine,tyrosine,ADMA/SDMA,linoleate,N-acetylhistamine,N6-acetyllysine,tryptophan,"N1,N12-diacetylspermine",isoleucine
CSM9X211,26290608,4209990784,84803585,650873474,3406313,179552239,16847418,35217317,118549107,22232326,332486924,97262344,36765280,219981360,73444635,537936050,63786163,15808331,513554495,60527112
MSM79HA3,7234406041,10450123063,144470730,348276612,24639825,,208747263,597117064,457119498,89155386,299587578,169730320,54286734,26388997,157787371,1243674,111893411,29180966,17176393,109859522
CSM5MCZF,23909506,1485058192,226052434,296079224,7445886,39825157,21532244,63264634,117707822,70283067,220294508,225142948,79131340,92176485,163224424,83200065,75264717,37978038,700242270,160286863
HSMA33NW,518759407,1533568782,1389667084,1217650446,1278606529,726070114,29659933,286982918,705537215,7692971,102646614,827332676,248832774,424008939,131371060,536626492,58722595,56860413,171763601,506711634
CSM7KOOH,2986085647,12740242908,410947070,412326277,11114630,,143257153,389823410,598733818,41850128,406012539,520997645,130054797,59065959,302599768,345923496,268347515,66867895,6068665,310943776
HSM7J4MK,3448466898,252098958,265210978,291104874,123385746,282499449,28618113,108894115,477710250,30079760,2144635,402286254,60550342,,78532725,1520330508,88777264,28991908,,319463025
MSM9VZIQ,78830229,3045486773,8272286646,1428228712,8778967,1382008559,5204950,19194943,118411778,64539204,226253098,1213420842,2673651127,617741251,25742723,306121724,33381948,85903952,21510331,724981604
HSM7J4HC,4537709180,57406323,2483342259,1129543017,405499354,739008554,72112612,183712708,336101371,35320446,191081219,987029477,576372088,79772247,181443837,86197808,181286985,106556751,168956092,941691908
MSM9VZOO,1697207804,691677193,1484022238,1079782146,6726797,117766356,40268547,875449267,2503859877,285985069,334177433,1511479952,425560626,92226438,37873126,474035160,449597315,395133722,57149729,920990362
ESM5MEBE,79255456,2997056461,1013760592,2420150600,574297104,114941461,11837953,127234817,73215818,13280978,1179843727,754374655,368230605,200863453,36644850,412487811,135790794,36623637,6605446064,477112694
PSM6XBQY,207872949,2348368565,95906077,179832253,20651275,230914586,62191123,94425108,20058493,32034304,173288732,90441742,46168027,326999776,135558371,872205626,28294175,29303512,67686308,68538006
CSM67UBZ,710277968,8343755073,64046907,150537680,57765809,580156992,210157941,403242352,228020742,30191117,172093987,90060129,27345833,26723363,363323273,788236253,72544856,16139245,19643016,66855458
HSM7J4R2,4873985653,2169466271,1713864909,979792891,4361867,607336639,32184093,131381618,489549686,73866805,632974599,1585968016,586216497,450992992,51495508,204707144,113437211,182800798,2278993061,1209361987
MSM6J2KE,3255035698,5902504273,350874353,580509710,14777966,485838309,290726721,645825385,480069626,52268120,489855240,264487387,86308642,164719605,156133809,448759205,63581486,85469031,86147903,189103346
PSM7J14L,2486802,46303313,7405426905,10667913941,2118729140,68633322,50423970,583561855,114083516,276874394,47069980,5010231047,204894554,1050855443,60721031,9232877848,161159622,215523934,863427441,4189674092
HSM7CYYB,,43489791,3522939257,5263778864,1251004706,18813806,55036741,1852151234,56968803,22159210,122280281,2661927220,241050792,735193259,102614834,45971977,78207098,53065425,613362969,1420722530
HSM7J4OZ,18525312,81319628,66615392,152283284,5425984,228327378,349767201,437681613,388976061,30585147,210735722,72936395,25183832,350103612,182167224,555844004,121318582,27236320,19206686,46466971
CSM79HIJ,4693785,2679515882,151223093,209857224,11100847,1080410557,103221793,245331767,35933637,10516712,26089413,166447277,59887128,29647113,254237125,582080419,121557613,33576407,1125974,119462392
HSM7J4OT,247129,76991037,7476273801,3746638757,236003380,374982844,151446946,714831863,20112363,5548416,50459586,4225653227,110762502,762563322,206778546,602964316,288653143,414245377,203990377,3716243545
ESM5MEBU,,288661986,492797654,1150358408,1087175561,201040594,40859260,221112962,89006775,42966691,206995660,471398572,186491979,495178434,16079029,1061133453,76013624,70141439,884656843,258085843
CSM67UGO,73941217,4142102551,75750116,143698038,293654381,24111661,43227029,119563095,86795217,21176393,55942320,84856055,33466618,21351648,228711583,222478179,59704894,17707877,409496737,62239833
PSM7J12V,47320305,1821705449,1833148174,6329112946,9021229,262008015,67360490,188146407,204595300,9925890,558527772,711189320,584729610,296278475,39930982,261976551,104374801,14254715,266971585,455841079
MSM79HB6,7003073,1898332632,316749376,327136944,161522767,640490464,44582620,219627789,241587735,17171350,36694297,402892429,110241937,26565230,100451639,355634593,53905966,58434831,1785492,273191509
CSM79HR6,,1938758178,1220255924,452306874,488454571,351417709,83583858,253568794,349324136,40922045,524134860,1258574431,389899675,73251194,139052464,367180840,74109717,232952496,28719589,641857462
MSM6J2QP,1488189003,2943827670,222253018,260328049,6882231,203773549,1307232484,1226846762,149933584,54884932,123394052,154038965,119594907,70123739,184003631,230913492,64015154,83791117,23894704,109032623
CSM7KOTU,57925157,1249980466,725997083,1948468003,16321414,799606608,228499226,460594087,258737833,23530612,1474138688,947725050,211049905,465013293,86646476,505279188,12376714,119711039,1174156900,478174747
HSM7CYZT,256482,1407449907,263564463,16289595464,487791685,146218167,26023042,369526729,331512090,19148419,489543426,269626748,93656093,471410132,37117262,532721346,96565568,101917042,993166237,165750928
MSM79H5Q,386178228,6986552564,124786293,309499752,19295662,429864833,672006481,1680445793,128674092,26538747,104330264,101543555,53839030,44772597,246444895,228975203,114683260,30890887,40518909,63036190
PSM7J19J,,272857077,115034632,135619454,9590057,9897675,15342195,148022461,17603496,12273104,6142146,143412861,26303019,46139855,56915331,208704568,16404009,14820543,,130655931
MSM5LLDS,,1736319741,643757754,1958563008,327500206,325022561,196383546,1863436685,381206199,77075806,1210691670,671613293,172947321,461953128,140113346,1054164468,127056786,106019202,544216027,379375423
HSM6XRQ8,409131819,985487717,364579140,485157889,531037867,1222011852,857770417,1018733976,469599094,33948656,1195699674,373901289,229994695,508424911,126602014,2052014605,245207469,94023196,516282893,224256586
CSM67UDN,311325096,1812853658,1750044281,862069409,48810662,377896603,51667522,533719445,577381491,110078301,1832086303,1729339925,434814156,62047478,39510173,376424279,72582636,227077839,60803575,901668014
HSM67VI5,4718892,250849311,64594071,100513114,7301953,54805676,,11403499,5157344,28635376,85380,80266249,22185812,,102031607,,39625535,12944660,,70044874
CSM67UBN,,1711648678,5770697735,4105359402,117061180,328988970,535524573,602767648,272778882,12747562,1100563718,2573859840,1209802311,1376672438,104478230,229949593,8302652,995244587,618425966,1582108140
CSM7KON2,25559831,944203551,122099015,138401942,41508406,694347698,,89918829,81638785,16526085,114930864,90037458,53248456,129839834,131073516,102018274,67163071,25582539,482351033,73516270
CSM7KOKB,1224838,454942751,5826515608,4146428147,7643579,49986004,272503945,1812952011,218756686,14458617,1375779350,4644418955,411266978,465875580,140802750,306755138,98364102,71780583,579760501,2275788415
PSM7J1AU,,119336832,2957000957,3598638319,3744015,154191194,704844522,2825099298,72804351,18055218,367619764,1666016531,478957063,476104871,1321262962,314977212,147432194,155170900,58116939,736252048
CSM79HH8,7281809,1614430884,249423436,221775536,1423909757,210741167,34163907,99294122,1777512886,59818112,4143324561,200656781,84365344,663889067,456023188,551023955,37262681,30197512,210781977,145516643
HSMA33OZ,,1086741944,2616080736,4395274291,1560145719,402699449,52002310,457665083,105976658,8734849,710241677,1933011990,760453328,425238535,76102352,981537429,483998886,1531193662,1777789954,1489679443
MSM79H85,380599530,242916131,217361933,789416531,3548230,92240825,1482556522,2309966358,232610011,3730845,604081700,158498573,67261975,396533802,536301613,237625417,97486803,50610054,1088995117,104127215
PSM7J14T,1321138957,6600287749,2512820716,1614640502,1077823847,244093368,50564351,130287596,931964938,472702231,458475217,2085664509,703938375,195750898,33197190,453333902,256605076,433448041,2453453743,1565833810
MSM9VZJZ,7897581028,1660824219,1173596679,975342134,294587912,1650192341,130963095,509529799,4152963829,422358944,1103285083,1152735984,363847232,224280541,105003796,368978891,555087013,235701592,37236860,757551862
ESM718TM,3350030920,4226124086,164937903,185686235,502639311,49352144,71971070,467227057,124615342,47424389,208201026,83331587,52049496,90299024,89383644,4544903105,100629620,32979988,98411984,72780664
HSM5MD6K,6077871962,1363581250,1265595761,777356603,2686648,969145692,146236443,764829971,350125103,57619613,613614022,1250906867,432309084,535496811,69914520,524892984,331842106,126034081,230338579,711055436
PSM7J12J,,36572614,1127451438,4093469730,1485818073,103399433,136775041,1102340299,186892006,23577408,173902075,1301761414,319383640,1070996791,49184247,277655368,60515561,381792488,363994730,606065761
CSM79HN6,4223940165,6527038589,198411063,391987281,2843707,,121237029,406310836,616949023,93676129,1147426343,268529449,86719333,18520475,392377445,771032,88876687,42899713,9051946,214157210
MSMB4LXY,1647232762,2124172299,2759111766,2289867967,9395528,149996294,65950702,992914375,1757378350,71519457,675325075,2648848711,746144178,476465672,51796760,304851185,300691211,485456160,281855433,1688889768
CSM67UAQ,1796827,2499357634,79765540,207972534,25217035,900012440,441255667,503532727,143213845,6436770,45100244,113414084,34269809,35235531,176443737,454945788,155267982,21238114,23910179,87510219
HSM7J4ME,105928766,2595541484,238893167,1673581743,87223827,701208240,24240634,197606311,73662137,43865166,1044264792,1996768238,79450437,61101716,41396199,1203005130,93041611,22399772,684530550,1069481793
MSM79HDQ,1506344961,2453003870,1457669269,789478111,478652101,,11440992,173396938,160421713,156956819,68507103,1419699356,361031898,13677107,36827756,250971433,45826350,190202341,14490015,1287226613
HSM6XRS8,,66039593,4243300181,1327724204,289407514,26099616,247827161,4098692524,124016114,1091931944,115629941,3389569249,519053423,557377292,87996383,1753584484,122574046,780688248,286976363,1647909533
MSMA26DG,2773736216,169725007,89087939,228805604,22476448,1900865500,470387110,728536297,317023904,13206588,137395602,76089912,36545718,286788171,62951144,1311322674,79189529,41537336,40661293,41310164
CSM7KOPI,6016627,530263238,316071796,360746469,15198126,894583906,141040974,221064522,195985497,12543887,59835532,349685500,112673365,43816576,137705210,547732435,93898560,53574799,4181695,182336321
HSM5MD7O,,230559515,7423032731,5146549518,936161421,42223057,1233945006,4226812935,170302288,1937397289,132003795,5553622218,392403632,931068631,228863036,2228411074,108739672,1383772897,568285186,4465214387
PSM7J12F,,51636556,1403958059,2191775426,1019871,230402293,208519502,3227488910,106615078,27742044,69522560,999226026,419539413,256358776,102026261,490093935,252764486,227318713,85625760,384601047
HSM7CZ14,,260472105,1139573145,1489090557,390307270,221237027,7957867,190830921,111427773,5894505,107090290,914574849,204062558,81806334,52873045,370881197,70070149,451743605,250641396,513969041
PSMA264Q,165233770,655289203,774989866,2664017996,216162997,87237263,18399696,104757767,729246292,82078408,546842696,883082794,235522015,381978703,76312811,1372503692,136319285,198979994,316882702,410029102
HSM6XRTM,27665717,184430457,3036647723,3926367523,16656550,147157025,333650908,5187766963,200305771,71608205,2471540346,3020926338,739296530,702605149,60802808,498968542,74704445,267517583,1564082698,1256258285
MSMB4LZ4,,258146866,892229407,1478307903,3495882,412902682,462526512,454363187,566986367,95339127,692768140,701878528,303390065,400515757,97289938,463787202,82476319,155420239,624881028,425555706
HSM6XRRJ,243350113,51791355,1501170562,1812073170,50299633,514717029,38842498,162357242,404306906,44657592,1513522897,1401129398,469711295,425414425,55151826,330308979,103588486,209397350,898080594,894417834
PSM6XBSI,1129799161,5050685551,140564311,225374742,617926818,188937910,58069826,415592373,359729556,60110102,243623528,138434856,53254874,72668746,105163370,322148387,165409049,24469519,28221184,104580545
CSM7KOKZ,901823621,3228314074,796114306,1190815569,34278411,395807745,38355126,182252197,904670199,91927787,877341577,982597969,233737538,45985146,252706877,266389183,206923135,140483196,42415607,591052140
HSM7J4MS,249365315,888688207,87862043,494075595,22743779,304303526,201861681,331889487,466432148,8258876,293852,55788307,26126576,123437923,408219030,368271533,107469314,17821996,994049,38081414
HSM7J4NA,4171906208,4183781087,589628052,449555102,211309437,113030479,32648764,358442207,1042501459,96602590,107917582,465411638,138113324,709747214,44970371,404416069,222398979,59965358,48884528,352826185
CSM79HIT,4123575228,3440874559,1470235165,1446459397,1203844498,45441188,239799994,1730765136,337193239,51309601,435919768,1624105668,391895571,206819678,90360327,7224129,458640754,250328283,124684637,1057301343
HSM7J4N4,2723316669,1683474769,704258016,470075074,316955502,492637497,20842741,308943862,1951745720,97864082,83574580,496567146,139022000,642639908,45703649,354711346,241613293,79786870,164132331,402529344
PSMA269W,10306280,86323944,1697815577,1088815367,5997105,168330780,26188446,68139057,836125757,165232586,1676697645,1794401491,447901535,474980986,94593749,283650884,121169960,263014108,1060063734,1174204658
ESM5MEDN,190599363,8687742233,182481463,192654433,39569706,527175264,15766747,85208379,93771103,23611674,17544346,258511915,52032856,38413705,124719622,2082691390,71800516,27540869,8935284,189336091
CSMAG78W,2331655041,1807956191,265059956,352857471,17365796,20810002,396043946,585896073,818455633,40417699,1561421916,351483532,96129593,42602563,238914144,19240643,198336512,66952842,23849640,189767550
MSM9VZJ3,465668991,1158385990,1178704881,2322841096,10936052,265217414,90124083,2003025610,486171399,67572551,2411891594,1751541022,273028762,281348808,47085620,1164890021,142716878,183139949,78083637,968980850
HSM7J4M4,66338015,70829137,261289737,3143332211,443653050,666063138,89605341,356013416,130483281,19925168,302508367,2850852323,92453008,85188615,59735820,1357913695,95619716,30223889,632586078,2052559840
CSM9X22U,93700781,4958065311,3338398357,3050915866,3135422,229057260,574386312,640156004,79873062,18813799,491102702,875577982,633920627,833567264,184987146,594013574,63901944,18971563,763517938,392117021
MSM6J2HT,233717152,1081284250,346599475,669767104,16234378,584780704,163414683,1482611748,455656718,28146537,740148085,278128005,115090915,81411561,97650927,305440961,43294234,75158134,67398295,164575974
HSMA33JB,2888340093,430947738,150179220,134575834,200069424,188271621,18565095,252986427,43984522,15242949,48855007,160354621,43817212,43245320,120021633,5264136868,89712094,27930080,10764602,97117777
MSM9VZLJ,8941068899,11167806381,2558188406,1468540825,129302331,,313528515,270935048,768520966,501948198,620664579,2223807022,842857955,51010181,32567561,456827,377952210,474559625,84349741,2123651793
CSM9X1YV,60074438,3164808156,182416846,1274927581,13181699,545130662,74476881,227523975,255871674,18862204,2192926289,668416460,61405830,434661323,91261221,287727277,15394825,44873736,2321292183,268980939
HSM7J4L9,16230317,969016799,2151412533,1594249607,253723630,448607937,10336787,76262737,467532102,85517524,285897872,2084467985,609094653,214776267,42896401,289357631,93961883,310888583,515034326,1375745279
CSMA9J65,,629266281,422129229,422362894,152393182,367038983,63667189,497830253,158303494,8891869,150481776,580343955,133122491,40312207,72646858,526271436,190960552,67765394,268972583,343557198
HSMA33KM,394756474,2971267342,170448698,128469697,815001,121773460,22686305,120379272,41790124,43325314,2275261168,161761311,59250037,330115784,117945263,187929603,42826077,37214651,265354334,107394875
MSM9VZEK,608446324,888956541,1129380503,593161675,252371768,,,6142109,166107017,48919981,96135921,1105875658,295162286,8717144,38437164,188040453,52425496,176156375,21504724,1041622558
HSM7J4OE,2449616734,1767056869,149540995,104539798,208353431,241097841,20250435,149433528,37782664,12317007,42817379,162750453,55570696,34780052,118574289,5131430971,116482233,28061688,53836802,91185091
PSM7J15M,5458883,612310274,1648274775,1369990405,87873517,152533048,13785495,116910263,284705091,214024741,56603713,1577393503,435591005,568430835,50218792,294746167,264848085,268788730,57740899,1020104518
HSM7J4J7,23869752,22748283,1788412956,3938577313,85402802,96446614,32401383,513249112,392342844,14334320,602214403,691140262,580701257,306495427,31686279,153006473,124384107,115155663,389755722,378559636
MSM6J2R2,1754875542,7503607378,388215481,1420822056,200483470,1165002036,286842974,1037587512,159969436,2807950,270950815,509401767,44832902,327971348,41265435,543718008,65477037,85890193,116818501,323406276
PSM7J17X,,222793606,459629382,3899622296,40247643,251790466,58778945,301308360,62716105,39966592,86972013,578475166,144353446,593106542,88826000,477794287,62178414,71479011,189579548,293906615
CSM7KOLA,782455520,278226273,454268210,777608958,13271688,407991686,1084635567,1159751043,204444793,250970030,18803088,323279914,117893535,66078013,139897488,23781000,32102507,95793784,67995426,148092112
MSMB4LZX,5288287010,983385320,1028142836,886093288,13374644,568839658,113362127,345210191,310437256,179110683,228114830,844694333,335973702,117609161,93983500,11426251,227732982,189949096,35416862,577297759
HSM6XRVO,4295671,81744245,3139652543,10223073135,14545600,287297164,1095710120,1891723158,266867919,124006152,262539687,2417022142,846593654,283010595,72604523,417643158,33429124,202379490,1507578968,1242351798
MSM6J2MB,,1214001146,81688301,966479226,3343847,148958424,210778839,462418378,103227246,16773473,27657788,86118092,38211582,24299273,116477492,945823727,53216064,20396721,104829536,52404218
CSM7KOOR,4034706275,6979655167,319486428,530687057,20172575,10618159,295324690,420432759,991921831,54286989,1006022625,446865973,94012775,38761375,187373986,105866042,147376618,65044703,151983577,302113515
CSM67UH7,2399088100,1907774789,3286376909,2029631908,50541880,,13651890,36518366,462334885,636728794,958553981,3058255195,791115959,74774013,95968950,303349748,574627892,563994930,10663115,2639105674
HSM67VF3,,276719545,105297448,3449108873,10145685,466281981,225949517,1087287979,287767725,12077817,234059313,107081361,55586766,220880636,216602623,2022668880,105569530,68474187,107196561,67941208
MSMAPC5D,40977492,2989172421,1247596520,630438339,17535350,933054877,49251206,65127354,255656600,99967803,627382616,586797283,453165397,17708353,52431685,171389049,61688279,135813919,52748561,347984515
HSM67VCZ,441819240,3781308631,1193907392,1028592891,8117002,635928116,66022339,397922539,291253420,29126294,364560452,208574362,76512807,178188304,151328612,310030959,61374255,35852551,367436335,149920149
MSMB4LZK,,91757954,522458127,427517739,575251253,1195013387,45029771,229060208,299847376,7557992,408526253,219686252,270465018,254665130,73286331,167693551,79458958,69587198,76477792,140677230
MSMAPC7T,66331124,5862715158,1470142162,999541350,71669570,216469936,57659157,115141466,1079179036,300037679,634436300,1372146009,398323700,187307680,44845289,509191370,218936269,257769583,15780096,1128129694
CSM9X23B,34804430,1216305419,273282540,1091966060,4012621,366759294,51630170,157145141,367249426,56636000,1473331882,411273786,75297944,320308081,81931825,230904821,29674853,37314812,713867699,203569110
HSM6XRRV,114794914,75934600,6550889130,9690876164,276615791,273011584,19680449,57778362,628221994,46281721,1049721459,3375784080,733645149,669492575,20682116,393278693,147916088,230226182,3818504696,2630523313
HSM67VEE,,1409333151,775954451,2484122398,88501345,406822914,596116566,22118955926,89114186,26343379,114839578,547609449,194724601,577993579,157885091,1231791644,115451424,217261441,1887956469,389295951
HSM67VGG,620446842,2938294865,1861296649,1087162399,9144590,110185646,6288191,45438769,441103895,1299425593,138655966,1645406932,434998080,1344852478,31034491,169934271,117680714,230035401,37895991,1438240960
HSM7CZ38,3197919,70466039,924231329,1746340685,77598876,402597143,349363978,738690167,337452652,24514253,239849270,915512041,300285654,277652974,74774604,416591269,54181488,223720175,619002063,512103374
CSM67UEA,493157109,1482885499,1538846517,252439529,776640796,220571790,50598245,460873171,692959131,16848181,102868838,268868474,97806750,110795816,95422022,211230518,73829827,61620348,282260817,166410591
HSM7J4NE,15451860,678363024,1536134522,1053384176,337215648,180659869,21086583,103979889,246511354,32494596,132378811,1831025214,136699903,8775571,90102027,256482528,98242373,100671040,9682738,369603714
CSM67UEW,102497094,375182158,591750959,436936685,674662,168473854,76359165,2135588755,705203692,158002,96872094,95467660,220354311,62492658,171650495,188472682,82484412,104108047,8782229,278705498
CSM9X22G,1097007390,6632421148,140717218,180050646,3738836,,8666120,152164735,420081041,10359153,49730856,140640157,66138826,15301531,57067382,735431,64807349,33413673,3156462,119314317
MSMA26BR,2941586767,3065710969,649637986,490838992,40006807,837831065,409793899,283103057,168564272,98334798,62787099,707858021,185548589,44796187,51649631,143661913,119183590,108106440,8818258,519086165
